time="2026-04-24T13:49:32-04:00" level=warning msg="Finding default values of vLLM version for model=qwen/qwen3-14b"
time="2026-04-24T13:49:32-04:00" level=warning msg="Using default vLLM version=vllm/vllm-openai:v0.11.0"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 16817531] preemption: evicting request_276 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 17217617] preemption: evicting request_288 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 17553234] preemption: evicting request_286 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 17822015] preemption: evicting request_285 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 18205948] preemption: evicting request_306 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 18722815] preemption: evicting request_280 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 19112999] preemption: evicting request_306 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 19124410] preemption: evicting request_290 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 19387974] preemption: evicting request_290 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 20113387] preemption: evicting request_284 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 20194763] preemption: evicting request_284 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 20725540] preemption: evicting request_276 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 22008545] preemption: evicting request_302 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 22171992] preemption: evicting request_302 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 22686222] preemption: evicting request_271 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 22890260] preemption: evicting request_271 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 22930356] preemption: evicting request_286 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 23010360] preemption: evicting request_279 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 23093909] preemption: evicting request_286 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 23132757] preemption: evicting request_279 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 23353945] preemption: evicting request_280 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 23944096] preemption: evicting request_285 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 24251606] preemption: evicting request_284 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 24501252] preemption: evicting request_290 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 24779828] preemption: evicting request_289 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 24985769] preemption: evicting request_288 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 24986869] preemption: evicting request_297 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 25191338] preemption: evicting request_297 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 25820188] preemption: evicting request_294 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 25891931] preemption: evicting request_286 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 26443602] preemption: evicting request_294 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 26472068] preemption: evicting request_290 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 27439080] preemption: evicting request_288 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 27803443] preemption: evicting request_290 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 28217752] preemption: evicting request_292 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 28311828] preemption: evicting request_297 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 28582117] preemption: evicting request_295 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 28644240] preemption: evicting request_298 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 28851345] preemption: evicting request_289 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 28915670] preemption: evicting request_303 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 29211790] preemption: evicting request_300 to make room"
