time="2026-04-24T13:49:32-04:00" level=warning msg="Finding default values of vLLM version for model=qwen/qwen3-14b"
time="2026-04-24T13:49:32-04:00" level=warning msg="Using default vLLM version=vllm/vllm-openai:v0.11.0"
time="2026-04-24T13:49:33-04:00" level=warning msg="[tick 50142383] preemption: evicting request_379 to make room"
time="2026-04-24T13:49:33-04:00" level=warning msg="[tick 53939512] preemption: evicting request_400 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 115454073] preemption: evicting request_835 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 115920408] preemption: evicting request_839 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 116814952] preemption: evicting request_844 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 117077789] preemption: evicting request_848 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 118929921] preemption: evicting request_848 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 120454729] preemption: evicting request_858 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 121314553] preemption: evicting request_853 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 122437884] preemption: evicting request_892 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 122645794] preemption: evicting request_863 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 123185542] preemption: evicting request_868 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 123190335] preemption: evicting request_899 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 123621084] preemption: evicting request_873 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 124237604] preemption: evicting request_904 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 124516252] preemption: evicting request_885 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 125297891] preemption: evicting request_915 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 125600514] preemption: evicting request_920 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 126147351] preemption: evicting request_925 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 126233559] preemption: evicting request_895 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 126818998] preemption: evicting request_907 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 127976870] preemption: evicting request_913 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 128751788] preemption: evicting request_939 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 129144052] preemption: evicting request_928 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 130397826] preemption: evicting request_943 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 130488195] preemption: evicting request_949 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 131075102] preemption: evicting request_932 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 131215179] preemption: evicting request_936 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 131617442] preemption: evicting request_947 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 131899601] preemption: evicting request_966 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 132355006] preemption: evicting request_969 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 132447470] preemption: evicting request_970 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 132499414] preemption: evicting request_951 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 133121479] preemption: evicting request_977 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 133721762] preemption: evicting request_983 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 133942233] preemption: evicting request_955 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 133954224] preemption: evicting request_981 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 134270073] preemption: evicting request_951 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 134286641] preemption: evicting request_966 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 134706687] preemption: evicting request_986 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 135054565] preemption: evicting request_974 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 135974167] preemption: evicting request_981 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 136236369] preemption: evicting request_955 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 136405222] preemption: evicting request_970 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 136675079] preemption: evicting request_986 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 136820926] preemption: evicting request_968 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 137093637] preemption: evicting request_972 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 137347587] preemption: evicting request_972 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 137771883] preemption: evicting request_976 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 137952762] preemption: evicting request_980 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 138269727] preemption: evicting request_981 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 138455023] preemption: evicting request_974 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 139040164] preemption: evicting request_991 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 139174883] preemption: evicting request_986 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 139288205] preemption: evicting request_984 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 139531395] preemption: evicting request_1006 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 139641688] preemption: evicting request_989 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 139895125] preemption: evicting request_997 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 140305085] preemption: evicting request_990 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 140512806] preemption: evicting request_996 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 140906606] preemption: evicting request_1000 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 141074366] preemption: evicting request_1010 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 141169598] preemption: evicting request_1004 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 141293592] preemption: evicting request_1001 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 142486274] preemption: evicting request_1012 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 142620750] preemption: evicting request_1005 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 142668491] preemption: evicting request_1006 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 142850682] preemption: evicting request_1013 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 143078409] preemption: evicting request_1016 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 143101179] preemption: evicting request_1014 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 143504191] preemption: evicting request_1021 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 143995698] preemption: evicting request_1009 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 144392758] preemption: evicting request_1027 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 144608555] preemption: evicting request_1018 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 144659867] preemption: evicting request_1025 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 145120712] preemption: evicting request_1026 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 145128741] preemption: evicting request_1025 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 145394728] preemption: evicting request_1041 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 145476356] preemption: evicting request_1041 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 145590136] preemption: evicting request_1031 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 145730637] preemption: evicting request_1035 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 145790373] preemption: evicting request_1030 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 146146329] preemption: evicting request_1045 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 146196307] preemption: evicting request_1040 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 146417612] preemption: evicting request_1055 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 146950243] preemption: evicting request_1051 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 147292726] preemption: evicting request_1059 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 147300923] preemption: evicting request_1050 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 147394798] preemption: evicting request_1034 to make room"
time="2026-04-24T13:49:34-04:00" level=warning msg="[tick 147676490] preemption: evicting request_1059 to make room"
