time="2026-04-24T13:49:50-04:00" level=warning msg="Finding default values of vLLM version for model=qwen/qwen3-14b"
time="2026-04-24T13:49:50-04:00" level=warning msg="Using default vLLM version=vllm/vllm-openai:v0.11.0"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 18997890] preemption: evicting request_317 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 20426685] preemption: evicting request_328 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 20633157] preemption: evicting request_312 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 20664193] preemption: evicting request_333 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 21113748] preemption: evicting request_326 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 21236260] preemption: evicting request_326 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 22468707] preemption: evicting request_323 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 22520988] preemption: evicting request_333 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 22550056] preemption: evicting request_323 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 22566406] preemption: evicting request_317 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 22884982] preemption: evicting request_330 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 23107401] preemption: evicting request_334 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 23249266] preemption: evicting request_334 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 23707951] preemption: evicting request_328 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 24056605] preemption: evicting request_317 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25176297] preemption: evicting request_322 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25179802] preemption: evicting request_334 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25255606] preemption: evicting request_329 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25337253] preemption: evicting request_329 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25343008] preemption: evicting request_323 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25424366] preemption: evicting request_323 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25555079] preemption: evicting request_328 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 25735813] preemption: evicting request_332 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 26735729] preemption: evicting request_336 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 26742538] preemption: evicting request_333 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 27424506] preemption: evicting request_317 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 27541021] preemption: evicting request_344 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 27757963] preemption: evicting request_322 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 27854836] preemption: evicting request_342 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 28444174] preemption: evicting request_346 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 28499978] preemption: evicting request_329 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 28756094] preemption: evicting request_327 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 28803117] preemption: evicting request_333 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 28931673] preemption: evicting request_340 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 29183949] preemption: evicting request_344 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 29324363] preemption: evicting request_349 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 29672061] preemption: evicting request_342 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 29753468] preemption: evicting request_342 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 30122679] preemption: evicting request_331 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 30224844] preemption: evicting request_344 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 30240267] preemption: evicting request_333 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 30261129] preemption: evicting request_346 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 30832973] preemption: evicting request_337 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 30970318] preemption: evicting request_341 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 31226590] preemption: evicting request_349 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 31299415] preemption: evicting request_351 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 32221421] preemption: evicting request_353 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 32284027] preemption: evicting request_341 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 32300762] preemption: evicting request_355 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 32465100] preemption: evicting request_345 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 32750950] preemption: evicting request_352 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 33012478] preemption: evicting request_357 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 33275698] preemption: evicting request_363 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 33505796] preemption: evicting request_356 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 33908259] preemption: evicting request_363 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 33977329] preemption: evicting request_354 to make room"
