time="2026-04-24T13:49:50-04:00" level=warning msg="Finding default values of vLLM version for model=qwen/qwen3-14b"
time="2026-04-24T13:49:50-04:00" level=warning msg="Using default vLLM version=vllm/vllm-openai:v0.11.0"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 122650627] preemption: evicting request_895 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 124011770] preemption: evicting request_902 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 124233516] preemption: evicting request_907 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 126359556] preemption: evicting request_928 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 126973607] preemption: evicting request_934 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 126978800] preemption: evicting request_932 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 128591726] preemption: evicting request_932 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 129933523] preemption: evicting request_947 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 130474591] preemption: evicting request_947 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 130787772] preemption: evicting request_951 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 132649641] preemption: evicting request_974 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 132720807] preemption: evicting request_951 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 134796884] preemption: evicting request_960 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 135222435] preemption: evicting request_970 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 135636690] preemption: evicting request_964 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 135978990] preemption: evicting request_972 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 136349461] preemption: evicting request_987 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 136641942] preemption: evicting request_972 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 136873478] preemption: evicting request_976 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 137042985] preemption: evicting request_991 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 137608424] preemption: evicting request_997 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 137645914] preemption: evicting request_984 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 138213429] preemption: evicting request_989 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 138869435] preemption: evicting request_1005 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 139533642] preemption: evicting request_996 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 139723994] preemption: evicting request_1000 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 139986769] preemption: evicting request_1004 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 141618195] preemption: evicting request_1019 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 141772434] preemption: evicting request_1016 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 141882172] preemption: evicting request_1018 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 142004325] preemption: evicting request_1018 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 142320818] preemption: evicting request_1021 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 143051506] preemption: evicting request_1027 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 143845837] preemption: evicting request_1025 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 144085791] preemption: evicting request_1031 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 144274366] preemption: evicting request_1025 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 144313734] preemption: evicting request_1026 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 144511381] preemption: evicting request_1035 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 144807165] preemption: evicting request_1034 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 145044084] preemption: evicting request_1041 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 145180703] preemption: evicting request_1040 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 146034345] preemption: evicting request_1025 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 146129481] preemption: evicting request_1039 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 146269532] preemption: evicting request_1044 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 146672515] preemption: evicting request_1029 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 146719805] preemption: evicting request_1058 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 146720607] preemption: evicting request_1039 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 147022460] preemption: evicting request_1043 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 147047737] preemption: evicting request_1054 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 147325746] preemption: evicting request_1048 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 147454160] preemption: evicting request_1033 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 147809645] preemption: evicting request_1063 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 148492489] preemption: evicting request_1058 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 148499974] preemption: evicting request_1069 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 149428166] preemption: evicting request_1042 to make room"
time="2026-04-24T13:49:52-04:00" level=warning msg="[tick 149618236] preemption: evicting request_1047 to make room"
