time="2026-04-24T14:26:42-04:00" level=warning msg="Finding default values of vLLM version for model=qwen/qwen3-14b"
time="2026-04-24T14:26:42-04:00" level=warning msg="Using default vLLM version=vllm/vllm-openai:v0.11.0"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 27040520] preemption: evicting request_288 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 27088267] preemption: evicting request_304 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 27576174] preemption: evicting request_306 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 27644022] preemption: evicting request_310 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 28102746] preemption: evicting request_292 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 28103384] preemption: evicting request_313 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 28366028] preemption: evicting request_298 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 28807375] preemption: evicting request_314 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 28810999] preemption: evicting request_311 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 29285181] preemption: evicting request_298 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 29395084] preemption: evicting request_320 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 29585028] preemption: evicting request_319 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 29890573] preemption: evicting request_315 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 30243352] preemption: evicting request_321 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 30473014] preemption: evicting request_303 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 30581360] preemption: evicting request_323 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 30699834] preemption: evicting request_326 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 31185380] preemption: evicting request_308 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 31533926] preemption: evicting request_325 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 31747821] preemption: evicting request_325 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 31856757] preemption: evicting request_312 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 32150757] preemption: evicting request_330 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 32324397] preemption: evicting request_317 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 32637165] preemption: evicting request_322 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 32662026] preemption: evicting request_329 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 32674343] preemption: evicting request_323 to make room"
time="2026-04-24T14:26:43-04:00" level=warning msg="[tick 33468464] preemption: evicting request_328 to make room"
