time="2026-04-24T14:26:57-04:00" level=warning msg="Finding default values of vLLM version for model=qwen/qwen3-14b"
time="2026-04-24T14:26:57-04:00" level=warning msg="Using default vLLM version=vllm/vllm-openai:v0.11.0"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 32556686] preemption: evicting request_354 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 33982854] preemption: evicting request_363 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 34315229] preemption: evicting request_364 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 34731491] preemption: evicting request_367 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 34874025] preemption: evicting request_366 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 35136387] preemption: evicting request_371 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 35360272] preemption: evicting request_372 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 35380813] preemption: evicting request_373 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 36465131] preemption: evicting request_381 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 36605769] preemption: evicting request_388 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 36891657] preemption: evicting request_386 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 37064668] preemption: evicting request_386 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 37687297] preemption: evicting request_367 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 37937884] preemption: evicting request_392 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 38454455] preemption: evicting request_388 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 38474516] preemption: evicting request_396 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 38675324] preemption: evicting request_400 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 39232672] preemption: evicting request_406 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 39305555] preemption: evicting request_401 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 39822194] preemption: evicting request_372 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 40138223] preemption: evicting request_407 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 40543075] preemption: evicting request_378 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 41424440] preemption: evicting request_412 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 41598860] preemption: evicting request_425 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 41785549] preemption: evicting request_422 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 41824554] preemption: evicting request_383 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 42736044] preemption: evicting request_422 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 42765058] preemption: evicting request_425 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 43165158] preemption: evicting request_394 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 43211092] preemption: evicting request_432 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 43269911] preemption: evicting request_431 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 43307024] preemption: evicting request_446 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 44051563] preemption: evicting request_399 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 44142406] preemption: evicting request_438 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 44235013] preemption: evicting request_428 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 44413997] preemption: evicting request_442 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 44626784] preemption: evicting request_448 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 44904511] preemption: evicting request_432 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 45228854] preemption: evicting request_440 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 45360882] preemption: evicting request_394 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 45490245] preemption: evicting request_459 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 45663659] preemption: evicting request_399 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 46022384] preemption: evicting request_446 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 46289589] preemption: evicting request_443 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 46582841] preemption: evicting request_410 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 46775927] preemption: evicting request_454 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 47332343] preemption: evicting request_465 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 47483611] preemption: evicting request_405 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 47492579] preemption: evicting request_453 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 47746443] preemption: evicting request_410 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 47906189] preemption: evicting request_455 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 48861452] preemption: evicting request_459 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 48863689] preemption: evicting request_465 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 49085056] preemption: evicting request_469 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 49235706] preemption: evicting request_461 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 49327541] preemption: evicting request_464 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 49598697] preemption: evicting request_472 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 50068330] preemption: evicting request_466 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 50163769] preemption: evicting request_473 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 50336019] preemption: evicting request_468 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 50661377] preemption: evicting request_410 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 50832854] preemption: evicting request_414 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 51068660] preemption: evicting request_466 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 51636286] preemption: evicting request_469 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 51696348] preemption: evicting request_424 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 51927976] preemption: evicting request_430 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 51940530] preemption: evicting request_470 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 52017132] preemption: evicting request_482 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 52435868] preemption: evicting request_498 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 52598589] preemption: evicting request_434 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 52678750] preemption: evicting request_472 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 52701125] preemption: evicting request_474 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 52789125] preemption: evicting request_441 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 53318503] preemption: evicting request_499 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 53332575] preemption: evicting request_503 to make room"
time="2026-04-24T14:26:58-04:00" level=warning msg="[tick 53441528] preemption: evicting request_495 to make room"
